baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00005	978.904658503203	0.32016198557422	0.111804489842843	2.86358791157898	0.00418872561118489	0.0559454633872534
EQU24_RS00010	1006.3774424165	-0.0469305093051814	0.112783548333197	-0.416111303454777	0.677328559042643	0.88919305155315
EQU24_RS00015	522.894898028895	0.219486513566454	0.111952005903898	1.96054114255769	0.0499325740660849	0.255701977477387
EQU24_RS00020	2573.60505698075	-0.121609657913446	0.110549573477935	-1.10004637817728	0.271311915234433	0.620663286425821
EQU24_RS00035	574.805889356414	-0.0341313247139202	0.107401910258244	-0.317790667147844	0.750643730550235	0.916952662564752
EQU24_RS00040	596.371348678483	-0.248387334081813	0.112805972133385	-2.20189879475631	0.0276724581564316	0.181139392687796
EQU24_RS00045	483.069659493141	-0.252954155759483	0.109120186239021	-2.31812430383323	0.0204425664065284	0.152469048891575
EQU24_RS00050	1132.41999126863	-0.140016324713364	0.108871798527485	-1.2860660575752	0.198420008702795	0.532004125610637
EQU24_RS00055	89.0817533472208	-0.277055776278988	0.112899985398788	-2.45399302134862	0.0141279723217535	0.12103262912585
EQU24_RS00060	1158.79521669459	-0.0982390330914304	0.110534726555915	-0.888761714552531	0.374131155744501	0.717666631102124
EQU24_RS00070	23.802678946628	-0.0101771832543072	0.108820024516752	-0.0935230744479429	0.925488019269961	0.976043951321038
EQU24_RS00075	34.0012136444096	-0.150343106186298	0.106173041646875	-1.41601958326041	0.15676977087202	0.479698819005594
EQU24_RS00080	178.504218009743	0.102847096361959	0.112779835340796	0.911928059224219	0.361806589583304	0.709831500880798
EQU24_RS00085	750.423026560782	-0.0918736981180452	0.110804215192629	-0.829153457369162	0.407017577647989	0.739116078222158
EQU24_RS00090	1254.12411221433	0.0661212917513857	0.112499307601362	0.587748432956444	0.556701161294484	0.826958947097208
EQU24_RS00095	1315.28942805354	0.0449032900910155	0.109373748892221	0.410549062693866	0.681403220641381	0.891633478041469
EQU24_RS00100	648.422349885771	-0.154199781027944	0.112528492849588	-1.37031766020412	0.170587762603645	0.496983120653941
EQU24_RS00105	1478.55705744804	-0.467970036676636	0.107551735671941	-4.35111561661876	1.35446603808344e-05	0.000658466320923696
EQU24_RS00110	1558.96568675671	-0.287298074297868	0.10426406921387	-2.75548495722483	0.00586051993195895	0.0710126063827459
EQU24_RS00115	3648.01008712466	-0.247183798868076	0.11044076175004	-2.23815731575201	0.0252107980735073	0.172124484308971
EQU24_RS00125	2452.87059246289	0.309925313490463	0.112471356255183	2.75559328001061	0.00585857966366324	0.0710126063827459
EQU24_RS00130	106.431091806776	0.512915140213984	0.112808611380061	4.54677292751998	5.44747152870445e-06	0.000305285383587812
EQU24_RS00135	266.382925083917	0.25334257294535	0.112591476792709	2.25010436102349	0.024442321322727	0.169361536256878
EQU24_RS00140	126.670751876352	0.247855271127764	0.106805200397662	2.32062924094462	0.0203068626303053	0.152221066300063
EQU24_RS00145	32.2060530452534	0.207276060959935	0.10681936319195	1.94043528032898	0.0523268124462634	0.260908950863681
EQU24_RS00150	163.270979432521	0.224615159613867	0.110047359299773	2.04107723295757	0.0412431509656493	0.227967279652596
EQU24_RS00155	66.6771567006288	0.354459344381259	0.110177393474553	3.21716945012976	0.00129462111772566	0.0236370869231812
EQU24_RS00160	610.04437871649	0.606994919140906	0.078771400284484	7.70577794667525	1.30048591121507e-14	5.2474606517528e-12
EQU24_RS00165	41.8366333930626	0.223711998993058	0.101177453232306	2.21108549233207	0.0270299173913395	0.177947543117142
EQU24_RS00170	208.99479485966	0.0155912263386964	0.112027749312466	0.139172896308125	0.889313525657498	0.963835731227618
EQU24_RS00175	38.935418740868	0.102463145664363	0.111283229929772	0.92074201772383	0.357185133453921	0.707558183859321
EQU24_RS00180	346.824952359173	0.302613784281733	0.108538842742793	2.78806901413944	0.00530232468077273	0.0663224738533416
EQU24_RS00185	52.2464690651429	0.10607437428412	0.112947725347282	0.939145732753546	0.347655926659752	0.699322955166426
EQU24_RS00190	88.1002728228304	-0.0512103471891523	0.102513626340377	-0.499546733612934	0.617394272367107	0.859626976634886
EQU24_RS00195	463.999047188984	-0.156786595035985	0.112444747787594	-1.39434342751297	0.163213922768313	0.488552061105446
EQU24_RS00205	88.8562375265279	0.269702539261728	0.0971023030368001	2.77750919213023	0.00547772906698013	0.0675921614228282
EQU24_RS00210	278.450399665085	0.282301120785319	0.112754869939851	2.50367120228079	0.0122912198665341	0.111199713366514
EQU24_RS00215	142.387513968061	-0.0101443985730233	0.110343078051639	-0.0919350697129899	0.926749627837065	0.976608709407824
EQU24_RS00225	651.046307007548	0.10640464625896	0.0956467718236015	1.1124750394629	0.265933956367838	0.615941064511731
EQU24_RS00230	443.312487267613	0.0277180652765684	0.10997309484231	0.252044059652165	0.801007008165277	0.931505972982003
EQU24_RS00245	218.785247542606	0.183984517021402	0.112857503864859	1.63023734107847	0.103051344725733	0.380431999971028
EQU24_RS00250	91.3341812682763	0.101835309829097	0.106791043442277	0.953594108143922	0.340289139290315	0.692253782376279
EQU24_RS00255	138.255204685934	0.174928770118561	0.107924690003616	1.62084107086804	0.105051727718352	0.385348837585046
